Desc	FamilyID	Pan_paniscus.mPanPan1_Y	Pan_troglodytes.mPanTro3_Y	Gorilla_gorilla.mGorGor1_Y	Pongo_pygmaeus.mPonPyg2_Y	Pongo_abelii.nPonAbe1_Y	Symphalangus_syndactylus.mSymSyn1_Y	chm13.chm13_Y
Testis-Specific-Basic-Protein-Y	BPY	2	2	2	0	0	0	3
Testis-Specific-Chromodomain-Protein-Y	CDY	3	5	4	13	22	5	4
Deleted-In-Azoospermia	DAZ	2	4	2	10	8	2	4
Heat-Shock-Transcription-Factor-Y-Linked	HSFY	0	0	5	4	5	5	2
Testis-Specific-PTP-BL-Related-Y-PTPN13-Like-Y-Linked	PRY	0	0	2	1	4	0	2
RNA-Binding-Motif-Protein-Y-Linked	RBMY	28	8	13	8	4	5	5
Testis-Specific-Protein-Y-Linked	TSPY	30	22	6	25	18	5	45
Variable-Charge-Y-Linked	VCY	2	2	0	1	0	1	2
Facioscapulohumeral-muscular-dystrophy	FRG1	0	0	1	0	2	2	0
Glutamate-Dehydrogenase-1	GLUD1	0	3	0	2	4	0	0
Family-With-Sequence-Similarity-47-Member-A	FAM47A	0	0	0	2	2	1	0
Adenylate-Kinase-6	AK6	0	0	0	3	7	2	0
Keratin-18	KRT18	4	0	0	0	0	0	0
Mitochondrially-Encoded-16S-RNA	MTRNR2	0	3	0	0	0	0	0
Oral-Facial-Digital-Syndrome-1	OFD1	0	0	2	0	0	0	0
TATA-Box-Binding-Protein-Associated-Factor-13	TAF13	0	0	0	0	0	2	0
TATA-Box-Binding-Protein-Associated-Factor-11	TAF11	0	0	0	0	0	6	0
