START	END	TYPE
8943627	8946429	TSPY
8963923	8966719	TSPY
8984262	8987064	TSPY
9004575	9007325	TSPY
9024834	9027648	TSPY
9045212	9047792	TSPY
9065457	9068259	TSPY
9085765	9088515	TSPY
9105999	9108795	TSPY
9126276	9129078	TSPY
9146559	9149361	TSPY
9166820	9169634	TSPY
9187133	9189935	TSPY
9207411	9210213	TSPY
9227688	9230490	TSPY
9247971	9250773	TSPY
9268234	9271054	TSPY
9288549	9291351	TSPY
9308829	9311631	TSPY
9329106	9331908	TSPY
9349392	9352194	TSPY
9369655	9372475	TSPY
9390025	9392775	TSPY
9410317	9413067	TSPY
9430561	9433357	TSPY
9450876	9453690	TSPY
9471162	9473964	TSPY
9491446	9494266	TSPY
9511728	9514530	TSPY
9532039	9534619	TSPY
9552292	9555094	TSPY
9572591	9575393	TSPY
9592943	9595523	TSPY
9613205	9616008	TSPY
9633523	9636319	TSPY
9653822	9656642	TSPY
9674182	9676762	TSPY
9694434	9697236	TSPY
9714767	9717329	TSPY
9735065	9737815	TSPY
9755329	9758131	TSPY
9775606	9778409	TSPY
9816242	9819044	TSPY
9836599	9839177	TSPY
10224650	10227203	TSPY
22386634	22424578	RBMY
22715593	22730041	RBMY
22739133	22753570	RBMY
23004065	23018511	RBMY
23239069	23253511	RBMY
18783968	18786776	CDY
18932262	18935072	CDY
24814591	24817331	CDY
26434505	26436731	CDY
23965003	24026288	DAZ
24076197	24099471	DAZ
25571713	25585440	DAZ
25661798	25719401	DAZ
23809495	23841142	BPY
24223343	24254990	BPY
25843297	25874944	BPY
22907275	22931519	PRY
23326035	23350287	PRY
19453178	19495418	HSFY
19637916	19680200	HSFY
14892390	14893131	VCY
14962884	14963615	VCY
